"job_title","job_description"
"Data Scientist - Image Processing and Marketing Science","Job Description:Work closely with our data scientist team to uncover insights, deploy state-of-the-art algorithms, and build practical solutions on massive user and product data.
Build core machine learning models as well as end-to-end product to support business applications such as image processing and search, video analysis and retrieval, text summarization and generation, marketing prediction models (e.g. churn prediction, lifetime value prediction), etc.
Analyze massive data and conduct feature engineering by large-scale data mining
Strong knowledge in one of the following machine learning areas will be an advantage:
Deep learning
Computer Vision
NLP
Image/ Video analysis and processing
Text summarization
Research the state-of-the-art techniques in deep learning, reinforcement learning areas to solve challenging problems.
Setup real-time data pipeline and build reliable dataset for various tasks.
Experience in semi-superivsed, unsupervised models, and multi-modal deep learning will be an advantage but not pre-requisite.
Requirements:2 years working experience with a programming language such as Python, Golang
Experience on SQL, Spark, Kafka, hadoop
Knowledge on areas such as Computer vision, Deep learning and NLP
Experience on elasticsearch, JanusGraph, Hbase and redis
Experience in OpenCV/Tensorflow/Caffe machine learning framework"
"Intern, Data Scientist","As an Intern, you will use statistics and machine learning to power product and business decisions at scale. Some of the projects that you will work on include driver allocation, food recommendations, and surge pricing.
What You'll Do

Work closely with business and product partners to understand how to leverage data science
Work on data exploration to support feature engineering or provide business insights
Build data pipelines to add new features to existing models
Work on stories to add new functionality to existing data science systems
Build models that improve business and product outcomes
What You'll Need

Currently pursuing Bachelor's or Masters in Mathematics/ Statistics/ Computer Science or any other related discipline
You can write code in at least one of the following: GoLang, Python, Java, Scala, Clojure
Previous internship experience in Data Science
You can understand and"
"Data Scientist","Company Overview:
Flowserve is the recognized world leader in supplying pumps, valves, seals, automation, and services to the power, oil, gas, chemical, and other industries. With more than 18,000 employees in more than 55 countries, we combine our global reach with a local presence.
Position Description:
In this position, the Data Scientist will be responsible for researching and developing advanced data analytics, feature engineering, and machine learning methods to address complex engineering challenges associated with Flowserve’s flow control products. They will be responsible for designing and implementing solutions for complex, large-scale data sets used for modeling, data mining, and research purposes. A strong background in computer science, data management, and current machine learning technologies is necessary. This individual is also responsible for business case development, collaboration with internal and vendor teams, lifecycle management of analytics projects, and interfacing with senior leadership to provide insights on commercializing analytics solutions. The role will require working on multiple projects simultaneously.
Superior communication and interpersonal skills, the ability to work cross-functionally with other areas of the organization, strong analytical skills, a professional demeanor and the ability to participate in and lead teams are the keys to this position. Strong organizational skills are required to effectively manage multiple projects and tasks simultaneously. The candidate must be able to work in a highly visible, dynamic and fast paced environment. They must also have a curiosity, desire, and enjoyment of data analysis for the purpose of developing new predictive analytics models.
Position Requirements:
In collaboration with domain subject matter experts, interpret and develop solutions to business problems using advanced data feature engineering and machine learning techniques.Develop new analytical methods and tools as required.Contribute to data management architectures, modelling standards, reporting, and data analysis methodologies.Work with IT and software engineers to develop, integrate, and deploy predictive analytics models for the purposes of growing the front end of the business.Develop methods to automatically visualize information from large data sets.Conduct research and make recommendations on data management products, services, protocols, and standards in support of procurement and development efforts.Work with application developers to extract data relevant for analysis.Collaborate with unit managers, end users, development staff, and other stakeholders to integrate data analytics applications with existing systems.Provide and apply quality assurance best practices for data analysis services.Adhere to change control and testing processes for modifications to analytical models.Assist in the creation of data definitions for new database file/table development and/or changes to existing ones as needed for analysis.Respond to and resolve data management performance issues. Monitor data management system performance and implement efficiency improvements.Manage and/or provide guidance to junior members of the team.Support the business with clear and insightful analysis applying advanced modeling techniques leveraging the data at hand.Preferences:
Master's degree in Statistics, Data Science, Computer Science, Electrical Engineering, Information Technology or related discipline.Minimum 5 years of professional experience in a data science or analytical role.Experience in Machine Learning model development to solve real world business problems.Proficiency in coding packages such as Python, R, or MatLab is required.Familiarity with Cloud Computing platforms such as Azure, AWS, or Google Cloud.Knowledge of database integration with SQL, Spark, Hadoop, OSI-PI, etc.Knowledge of industrial sensors, signal processing, and data acquisition systems is a plus.Excellent interpersonal, written/verbal communication, and leadership skills with the ability to quickly build credibility, influence and make recommendations to all levels.Strong analytical and problem-solving skills with attention to detail.Organizational skills - ability to multi-task, prioritize, and execute on assigned deliverables.Facilitation skills - emphasis on coordinating customer relationships with internal functions/groups; ability to solve issues by coordination across cross-functional areas.Strong cross-functional team player.Ability to change direction quickly based on analytic needs.Ability to communicate complex findings and ideas in a plain language.Enjoy discovering and solving problems.Strong organizational skills - ability to effectively manage multiple projects and tasks simultaneously.Ability to travel on occasion.Percentage of Approximate Travel Required: 15%
Primary Posting Location: Singapore, Singapore
Job Posting/Business Card Title: Data Scientist
Job Posting Category: Engineering/R&D
Employment Type: Full time
Country: Singapore
Auto req ID: 45762BR
Flowserve is an equal opportunity employer and makes employment decisions without regard to race, gender, disability or protected veteran status. Click here to learn more. Flowserve will also not discriminate against an applicant or employee for inquiring about, discussing or disclosing their pay or, in certain circumstances, the pay of their co-workers Click here to learn more.
If you are a qualified individual with a disability or a disabled veteran, you have the right to request a reasonable accommodation if you are unable or limited in your ability to use or access www.flowserve.jobs as result of your disability. You can request a reasonable accommodation by sending an e-mail to employment@flowserve.com. In order to quickly respond to your request, please use the words ""Accommodation Request"" as your subject line of your email. For more information, read the Accessibility Process."
"Data Scientist Intern","Utilize coding skills to test signal processing or machine learning algorithms.
Application Instructions Please apply for this position by submitting your text CV using InternSG.
Kindly note that only shortlisted candidates will be notified."
"Junior Data Scientist","Job DescriptionIn an established team based in San Francisco, you will get to influence how we work with data science as you generate insights that are actively put to use.
Be advised
As an intern, the whole audience management team will support you to grow your skills and help you to put your theoretical knowledge into action.
Personalized topic of learning
Within audience management, we are running several research projects on a large scope: social media, CRM, in-game… Pending on your background and your academic requirements, we will adapt the topic.
Full stack scientist
Even if you are an intern, you will be considered as a scientist and so, you will get access to a large panel of tools corresponding to different steps of the analysis. The most commons will be HiveQL for data extraction, Spark and Python for data analysis and Tableau for data visualization.
To summarize: at the end of your VIE (1.5 years), you will be able to run a complete study by yourself.
Daily activities in the Data Science team
To give you an idea of the past and current projects, please find below a non-exhaustive sample of our daily activities.
Contribution to the customer engagement
The CRM data are composed of millions of players, who they are, what they played split in two databases on Hadoop, the other on Teradata. We have built different models which permit to cluster players for emailing campaign, to select players for betas or to improve the queue of the customer service.
Contribution to the brand vision
The brand teams are always eager to know better their players. To do so, we are using the YouTube public data stored into our Hadoop to extract trends based on the available meta-data at user level. We are also using the game tracking data, hundreds of billions of events per game, to know their game behaviors and hence help to shape the Brand vision.
Contribution to the marketing performance
The data science team is building the tools for monitoring the daily user acquisition: cost per acquisition, lifetime value and other measure of the player quality such as the addressability funnel.
Contribution to the executive management topics
The data science team have a close relationship with the executive management and we are often asked to quickly present an analysis about a hot topic.
QualificationsPlease note that VIE is a very specific type of contract for European citizens, please check you eligibilty here before applying.
Master in computer science, mathematics or related fields
Proficiency in at least one programming language, preferably R or Python
Knowledge of SQL
Knowledge of data visualization
Strong interest in the gaming industry
Excellent communication and interpersonal skills
Speak and write English fluently
Additional InformationAll your information will be kept confidential according to EEO guidelines."
"Senior Data Scientist (Food)","Get to know the role:
Identify business-wide problems and be responsible for guiding the project team in solving problems using a combination of Big data, Machine learning and Operations Research techniques
Build, validate, test, and deploy machine learning/ deep learning models for behaviour, recommendation or demand modelling
Develop and implement optimization algorithms to solve vehicle dispatch, routing and pooling problems
Drive product improvements and roll-out of new features
The day-to-day activities:
Manage multiple concurrent projects and drive them to successful completion
Communicate problem formulation, solution, analyses and insights to team members and stakeholders
Design and build machine learning and optimisation algorithms efficiently
Integrate, simulate and test impact of algorithms and features on the overall system
Develop and execute necessary analyses, simulations or A/B tests to validate models and identify improvement opportunities
Store, retrieve and visualise results in a manner that facilitates required analyses
The must haves:
Minimum 4 years of relevant experience in one or more of the following:
Developing machine learning/ deep learning models for behaviour, preference or demand modelling
Developing optimization algorithms to solve large-scale network flow/ combinatorial/ stochastic problems
Deploy and maintain scalable machine learning infrastructure
Ph.D. or Master’s in Computer Science, Computer Engineering, Mathematics, Statistics, Operations Research, or related technical disciplines
Strong fundamentals in at least two of the following: Machine Learning, Recommender Systems, Natural Language Processing, Optimisation or Architecture, with background in the other areas
Proficient in one or more of the following programming languages: Python, R, Scala, C++, Java; knowledge of GoLang would be an advantage
Experience with machine learning framework (scikit-learn, Spark MLlib etc)
Detail-oriented and efficient time manager who thrives in a dynamic and fast-paced working environment
Able to present complex subjects clearly and coherently to non-domain experts
Really good to have:
Experience in working with food delivery data and use cases
Experience in parallel programming and multithreading
Experience in large scale routing algorithms"
"Data Scientist (Smart City)","Roles & Responsibilities
Data Scientist (Smart City)

We are looking for a Data Scientist who is passionate in using data to draw insights that supports planning, policy making as well as business process optimization. The ideal candidate must have a strong interest in developing data and analytics solutions to address business problems. He/ she must have proven ability and strong experience in using a variety of data mining/data analysis methods, performing coding to analyse complex datasets and developing models that optimize business outcome. The right candidate needs to be comfortable with engaging a wide range of stakeholders and is able to interact effectively with both the technology teams and the business units.

Responsibilities
Work with stakeholders throughout the organization to define business problems and identify opportunities that leverage on company data to drive business solutionsResearch and explore different data sources, work with data and system experts to understand the data and what it represents. Perform data cleaning, pre-processing, feature engineering and build relevant models and algorithms to conduct meaningful analysis.Work within a cross-functional matrix team comprising data analyst, business users, data engineers etc, and guide the team in developing artificial intelligence and machine learning models to extract insights, from structured and unstructured data, that optimise business outcomes.Develop processes and tools to monitor and analyse model performance and data accuracyCommunicate and present insights to senior management and/or other stakeholders with actionable recommendationsWork with the data engineering team to automate data workflows and deploy analytical solutions for business usersActively seek out opportunities to innovate by using non-traditional data and new modelling techniques.Research and enhance existing analytics techniques by promoting new methodology and best practices in analytics field.

Requirements
Bachelor/Masters qualifications in data science/analytics, statistics, computer science or related fields, or candidates from other disciplines with professional certifications (i.e. Coursera) are welcomed to applyMinimum 5 to 7 years of relevant working experienceProficient in the use of open-source analytic tools (i.e. R and Python), visualization tools (i.e. Qlik Sense, Tableau and Power BI) and database development tools (i.e. SQL and Hadoop)Experience in working with large structured and unstructured datasetsExtensive experience in areas of Data Science and Artificial Intelligence (“AI”) – machine learning, neural networks, deep learning including application domains like natural language processing, computer vision and speech analysisProven track record of applying Machine Learning and AI in real-world industrial settings to make decisions, uncover data patterns/trends and predict outcomesExperience with cloud computing will be advantageousPassion for learning new techniques and solving challenging problemsAbility to work independently and in cross-functional teams to drive business solutionsGood analytical and presentation skills, including the ability to articulate complex data analysis in both technical and non-technical approach to stakeholders"
"Data Scientist, Singapore","What will you do?
Design and build data driven systems for risk control, fraud detection, recommendation, customer segmentation, adaptive pricing etc.
Build, validate, test, and deploy models and algorithms.
Work with backend engineers to architect data storage and processing pipelines.
Work with product managers to develop new product features based on insights from data.What do you need?
Master or PhD in computer science, statistics, mathematics, or fields related to big data preferred.
Experience in Python or R.
Knowledge in supervised/unsupervised learning, classification/clustering algorithms, feature engineering/optimization, computer vision.
Experience in deep learning, reinforcement learning, personalized search and recommendation, user/seller behavior modeling, marketing algorithms preferred.
Experience of Hadoop, Spark, Tensorflow is a plus.
Experience with visualization software to convert models/insights into simple, business sell-in stories would be an advantage (but not mandatory).
Outstanding analytical and problem-solving skills.
Self-motivated, innovative, and proactive. Willing to learn new knowledge and explore unfamiliar domains."
"Data Scientist","The Company
Hitachi Vantara, a wholly owned subsidiary of Hitachi, Ltd., helps data-driven leaders use the value in their data to innovate intelligently and reach outcomes that matter for business and society – what we call a double bottom line. Only Hitachi Vantara combines 100+ years of experience in operational technology (OT) and 60+ years in IT to unlock the power of data from your business, your people and your machines. We help enterprises store, enrich, activate and monetize data for better customer experiences, new revenue streams and lower business costsThe Role
The Data Scientist will work closely with Pentaho’s sales team to define and deliver compelling product demonstrations taking advantage of data science capabilities in the Pentaho Platform. Typical use-cases may include predictive maintenance, anomaly detection, and trend-analysis using tools such as Weka, R, and Python and libraries common in machine learning and computational statistics. As a Pentaho Data Scientist Sales Engineer, you have the opportunity to work on cutting edge use-cases, using the best-in-class technologies for the most forward-thinking customers in a fast-paced environment.

Reports to Sales Engineering Director

 Responsibilities
Perform data analysis using machine learning and other statistical analysis techniques
Build repeatable demonstrations and train other resources on their use
Assist in identifying prospective customers who may benefit from data science and provide suggested use-cases
Interact with the sales team to provide “best-practice” for use of data science
Present findings to prospective customers in a compelling manner
Product Expertise: Conduct technical Q&A sessions and demonstrations around Pentaho product features, installation, configuration, and best practices.
Lead Evaluations: Design and scope focused evaluation plans that uniquely position Pentaho, are tied to prospect requirements, and prove out business value.
Continual Learning: A passion for learning new technologies as needed.
Qualifications
MSc or PhD in a STEM field.
Hands-on experience with Python (numpy, pandas, scikit learn, scipy), R, or Weka. Experience with Big Data technologies including Spark MLlib and Structured Query Language (SQL) is a plus. Experience of working with time series data is desired.
Solid knowledge of machine learning and statistic techniques including regression, clustering, supervised machine learning, group comparison, trend analysis
Ability to adapt and learn quickly new techniques, algorithms and methods
Excellent communication and presentation skills, highly collaborative
Ability to meet deadlines, use pragmatic approach combined with creativity
We are an equal opportunity employer. All applicants will be considered for employment without attention to age, race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status."
"Data Scientist","Ensign is hiring !
Familiarize with Ensign’s business domain and objectives to implement cyber security analytics solutions that meet internal business requirements and the needs of industry partners and customers
Develop, evaluate, tune, deploy, maintain and document production-grade data analytics models that provide cyber security insights.
Work on large volume of raw, structured and unstructured data from internet traffic, logs and other forms of data sources using Apache Spark, MPP DB, NoSQL, Hadoop, Scala, Python, R, Tableau etc on daily basis.
Evaluate potential solutions relating to data analytics and make recommendations to solve business problems
Liaise and work with in-house developers, data engineers, big data architects, visualization engineers and project managers to better understand the requirements of developing, deploying and productizing models
Ensure the analytics models are running in optimal condition and perform trouble-shooting when the models are having issue
Advocate and ensure security best practices
Requirements
Degree in Statistics, Data Science, Mathematics, Computer Science, Engineering or any other related quantitative field
Minimum 3 years of experience working in a data science position, preferably in the cyber security industry and has worked with security logs/network data
Experience and expertise in probability and statistical modelling, inclusive of machine learning, experimental design, evaluation and optimization
Proficiency in Scala, Python, R, Java, Spark and SQL, among others
Ability to perform rapid prototyping and proof of concept using visualization and dashboarding tools such as Tableau
Experience with machine learning and deep learning frameworks and tools such as TensorFlow, Keras, Caffe, MxNet, Spark, Hadoop, R, pandas
Solid technical background with hands-on experience in conceptualizing, designing, implementing and deploying statistical or machine learning models in the big data environment (e.g. Hadoop)
Excellent client-facing and internal communication skills
Solid organizational skills including attention to detail and multi-tasking
Team-player, result-oriented, proactive, self-driven, requiring minimal supervision
Creative problem-solving skills, highly organized, with ability to handle multiple simultaneous tasks, prioritize and meet tight deadlines"
