"job_title","job_description"
"Data Center Technician, University Graduate, 2019 Start","Applicants without Singapore work authorization are not able to be considered for this role.
Minimum qualifications:
Currently pursuing a diploma in an engineering discipline, or equivalent practical experience.
Experience with computer hardware and server hardware or troubleshooting/diagnosing.
Experience in operating Linux operating systems.
Experience in networking protocols.
Preferred qualifications:
Bachelor's degree in an engineering discipline or certification.
Experience in maintenance and monitoring of server systems.
Experience working within a data center or network operation center environment.
Experience in project management and leadership.
Must have work authorization in Singapore.
About the job
The Hardware Operations team is responsible for monitoring, maintaining and deploying the state-of-the-art physical infrastructure behind Google's powerful search technology. As a Data Center Technician, you'll deploy and maintain Google's advanced Data Center Server and Network Infrastructure. You'll also participate in or lead local project teams on larger installations and develop project contingency plans.
In this role, duties range from the physical deployment of data center-related technology to working closely with the various stakeholders. It will fall to you to ensure that our goals, missions and projects are successfully delivered, and, more importantly, that they are repeatable across our global array of data centers. This position offers a great introduction to the wider engineering world at Google. Depending of your area of interest, capabilities, and geographical mobility, you will have the opportunity to develop either within Hardware Operations or move towards software development, engineering, networking operations or our project management groups.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We're always on call to keep our networks up and running, ensuring our users have the best and fastest experience possible.
ResponsibilitiesContribute and lead efforts/projects in the deployment, maintenance and support of current and new data center infrastructure.
Lead complex troubleshooting and resolve critical or escalated technical issues over a significant population of affected equipment.
Help test and troubleshoot new complex server hardware components and designs.
Configure and troubleshoot Linux OS-related issues on server.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
"Facilities Technician, Data Center Controls","Minimum qualifications:
Associate's degree, trade school certification or other verifiable training in a relevant technical field or equivalent practical experience.
4 years of experience as controls/automation technician, or in a critical/construction/high tech environment.
Experience in programming/project management leadership position.
Ability to work non-standard hours, including on weekends, holidays and on shift-based schedules.
Preferred qualifications:
6 years of experience, including experience with planning, creating and implementing complex control system designs for large datacenter installations, negotiations or technical interactions with equipment providers.
Execution/planning experience with manufacturers equipment and industry protocols, installation, commissioning and operations.
Understanding of electrical and mechanical systems in data center environments and controls/monitoring systems.
Ability to program/deploy integrated plant projects to interface infrastructure power and cooling components.
Ability to write, interpret and troubleshoot programming code.
Ability to communicate effectively with contractors, engineers and local/remote management to address issues during normal working hours or when on call.
About the job
The Data Center team designs and operates some of the most sophisticated electrical engineering, mechanical engineering and HVAC systems in the world. Facilities Technicians at Google data centers operate, monitor and support physical facilities conditions. Some of these duties will include heating and cooling of air and water, power supply, generators, UPS systems, electrical distribution and control and monitoring systems. You regularly help inspect, maintain and repair various data center systems such as piping and non-critical electrical or mechanical system components). You provide daily assistance to senior technicians as you read blueprints/schematics, conduct tours of systems and assess their working order.
As an advocate for best practices, you develop creative approaches to reducing operational costs while improving overall data center efficiency. You ensure that environmental and safety standards are consistently met, identifying problems and making repairs quickly. In emergency situations or abnormal conditions, you manage data center performance issues and outages to minimize the recovery time from failures.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.
ResponsibilitiesDirect the execution of complex controls system programming, starting-up, commissioning, documentation and full facilities turnover on assigned projects autonomously.
Produce standards and templates for global control/monitoring system analysis, diagnostic, preventive maintenance and trend logs for data center critical facilities systems.
Create plans/designs autonomously to accomplish business objectives and to fulfill customer requirements for complex troubleshooting and emergency situations at a data center for controls/monitoring domain of expertise.
Perform strategic planning and design for large-scale/complex controls/monitoring upgrades and deployments across all geographical locations.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
"Data Center Engineer","Education/Experience:Technical College Degree or Qualified Technical Diploma.Experience in mission critical environment with 3+ years of relevant work experience.Proficient in technical verbal and written communication skills.Strong attention to detail and organizational skills.Able to prioritize in complex, fast-paced environment
Are you a critical services engineer, wanting to work in the data centers for one of the world’s largest and fastest growing cloud providers?
Do you enjoy solving problems and delivering value-adding results?
Are you looking to expand your horizon in a dynamic work environment with boundless opportunities for career advancement?
If you answered yes to any of these questions then Amazon Web Services Data Center is the place to be!
In this role, you will be responsible for the on-site management of the colocation (CoLo) service providers in state of the art critical infrastructure facilities.
Based in Singapore you will have the opportunity to assist in the design, implementation, commissioning and build out of new facilities.
Work with key business leaders to drive & implement projects to increase current facility capacity, efficiency, sustainability & reliability.
As a subject matter expert in the critical services industry, you will review the CoLo’s management of both routine maintenance and emergency services on a variety of critical systems.
At Amazon, our mission is to be the most customer-centric company in the world, your focus will be on the delivery of exceptional customer service and satisfaction.
You would be joining a world-class technical team, working with some of the most talented and brightest engineers in the industry. Not only would you be working with the most experienced, you would be developing your skills and furthering your career within one of the most innovative and progressive technology companies in the world.
If you’re up for the challenge, we’d love to hear from you!
Experience in management of vendors/contractors performing construction, maintenance and upgrading works in large-scale critical environment.An excellent understanding of the electrical and mechanical systems used in a data center environment, including but not limited to DRUPS, Transformers, Generators, Switchgear, UPS systems, ATS/STS units, PDUs, Chillers, AHUs and CRAC units.Data Center or facility experience."
"Data Engineer Intern","You will be part of the Investment Data Platform team. Your main responsibilities will be to support the team on:
Software engineering projects
Develop Python scripts to process structured and unstructured data, e.g. comparing multiple sets of investment data
Create Jupyter Notebooks (Python) for our proprietary next generation data platform
Contribute to our Reference Data Analytics system, by writing Python scripts to generate business intelligence reports using a web API
Data analytics projects using global stock market data
projects which aim to answer business questions, typically lasting from a few days to a couple of weeks
involve inspecting data sets and developing algorithms to merge multiple data sets

QUALIFICATIONS

The requirements of the role are as follow:
Knowledge and SkillsRelational Databases (SQL and data modelling)
Python knowledge or similar programing language
Knowledge of Jupyter Notebooks or Pandas will be an advantagePersonal attributesAnalytically minded
Self-motivated and able to work independently to plan/ communicate progress
Strong interpersonal skills
Team player
ABOUT AXA

Would you like to wake up every day driven and inspired by our noble mission and to work together as one global team to empower people to live a better life? Here at AXA we strive to lead the transformation of our industry. We are looking for talented individuals who come from varied backgrounds, think differently and want to be part of this exciting transformation by challenging the status quo so we can push AXA - a leading global brand and one of the most innovative companies in our industry - onto even greater things.
In a fast-evolving world and with a presence in 64 countries, our 166,000 employees and exclusive distributors anticipate change to offer services and solutions tailored to the current and future needs of our 103 million customers

We are an active, long-term, global, multi-asset investor focused on enabling more people to harness the power of investing to meet their financial goals. By combining investment insight and innovation with robust risk management we have become one of the largest asset managers in Europe, managing €746bn in assets as of the end of 2017. We employ about 2,400 people around the world and operate out of 21 countries.
WHAT WE OFFER
We are proud to foster a high-performance culture, which means that we seek to recruit and retain people who are not only technically-skilled but also globally-minded, innovative and able to leverage their unique perspectives and life experiences to support our success as a company.

AXA IM is committed to building an inclusive culture, valuing diversity and supporting the career progression of all employees."
"Data Engineer","Roles & Responsibilities
You will be working extensively with Data Scientists, Software Engineers and Product Managers to detect unusual patterns, combat financial crimes, prevent fraudulent activities.

The company has a unique entrepreneurial environment, spanning 20+ products. Our fraud team is based in Singapore and Jakarta, and working on a ton of exciting projects! If you're an independent thinker and a well-rounded person, this is the place for you. As a Data Engineer, you will be responsible for imagining, building, deploying and running one or more of these products. You will own the future of this product, ensure its quality, and get to see the results of your efforts in people's everyday lives.

Responsibilities
Setup real-time data pipelines that power the company’s business and engineeringBuild backend services for a fraud detection platformBuild core platform to enable new features on our big data and micro-services oriented architecturePractice quality engineering, through TDD, agile on a cutting edge stackGenerate insights and tooling around the company's productsExperience & Skills
5+ years of experience as a software engineer. Solid computer science fundamentalsHands-on experience and strong proficiency in Go or Java. Experience in MySQL, Postgres, and RedisExperience in lean/XP development methods (TDD, Pair Programming, Scrum, Kanban, Continuous Integration/Delivery)Deep expertise with data streaming and computation frameworks, including, but not limited to: Spark, Kafka, Flink, BeamExperience in cloud platforms and solutions (GCP / AWS preferred)Experience in production environments with large data sets. Experience in DevOps tools including but not limited to Docker, KubernetesA passion for quality and best practices but with a pragmatism that understands the balance between perfection and delivering value in a timely manner. Eagerness to work openly and collaboratively with a diverse team. Thrive on solving complex problems and creating high quality, highly scalable software solutionsExcellent communication skills"
"Data Engineer Consultant / Analyst","Responsibilities

Use your knowledge to plan and deliver data warehouse and storage
Lead the application architecture for Big Data solutions with focus on Apache Spark, Hive and Hadoop eco-system
Lead the architecture conversation with project stakeholders both within and outside the organisation
Stay up to date with business best practice in using and retrieving data
Design, develop, adapt and maintain data warehouse architecture
Customize storage and extraction, metadata, and information repositories
Create and use effective metrics and monitoring processes
Support deal teams by providing subject knowledge and solutions for client proposals
Travel as required. Requirements

Database, storage, collection and aggregation models, techniques and technologies â and how to apply them in business
Using Apache Spark, Hive and Hadoop eco-system. Exposure to real-time data integration is preferred.
Understand how business intelligence tools work with Big Data systems
Effort estimation in support of project delivery or pre-sales effort
Experience in structured problem solving. You donât hesitate to roll up your sleeves to solve code related issues.
Shortlisted candidates will be offered a 1 Year Agency Contract role

Responsibilities * Use your knowledge to plan and deliver data warehouse and storage * Lead the application architecture for Big Data solutions with focus on Apache Spark, Hive and Hadoop eco-system * Lead the architecture conversation with"
"Specialist, Data Center Environmental Health and Safety","Minimum qualifications:
5 years of experience with EHS programs, including construction and general industry.
Experience working with cross-functional teams, contractors and vendors.
Preferred qualifications:
Bachelor's degree in Environmental Science, Occupational Health and Safety, Earth Science or a related discipline.
Professional EHS certifications (e.g., CHST, CSP, CHMM, REM).
Experience managing compliance and best practice implementation in a contractor workforce.
Experience communicating with federal, state and local authorities regarding EHS issues.
Track record of effective safety culture development and understanding of electrical safety and behavior based safety.
Excellent project management skills.
About the job
Google Data Center teams design and operate some of the most sophisticated electrical and HVAC systems in the world. As an Environment, Health & Safety Technician, you oversee compliance by Google employees and contractors with EHS procedures. Your goal is to ensure environmental protection, pollution prevention, health, and safety for all Googlers and Google facilities. Your proactive approach means you are consistently working to improve data center environmental, health, and safety (EHS) performance. You meet and manage all EHS legal requirements while monitoring and supporting all facilities activity at Google's data centers, and always operate according to exceptional environmental practices. In emergency situations or abnormal conditions, you respond to data center EHS issues and incidents to minimize the impact.

As a member of Data Center Environmental Health and Safety (DCEHS) team, you will be responsible for supporting new site construction environmental, health and safety (EHS) compliance through operational leadership. You will play a critical role in ensuring all EHS challenges are identified and addressed by working collaboratively with a cross-functional team of Google Data Center (GDC) departments and contractors. You will also be responsible for creating accurate and coordinated timelines that support the Data Center Program Management (DCPMG) and Data Center Services (DCS) teams in meeting scheduled facility ready dates while ensuring compliance and contractor oversight.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We're always on call to keep our networks up and running, ensuring our users have the best and fastest experience possible.
ResponsibilitiesSupport Data Center Services (DCS), Program Management Group (PMG) and Data Center Operations (DCOps) by leading EHS program implementation and oversight from construction through operations.
Manage projects associated with all aspects of industrial and construction EHS compliance programs, with a heavy emphasis on electrical safety.
Manage oversight of construction activities to protect Google’s interests during general contractor management of site activities.
Provide EHS support for existing fleet as needed as well as support within the region and at a global level for all EHS programs and initiatives.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
"Data Engineer","Roles & Responsibilities
Responsibilities
Setup real time data pipelines that power business and engineering
Build core platform to enable new features on our big data and micro-services oriented architecture
Build backend services for a fraud detection platform
Practice quality engineering, through TDD, agile on a cutting edge stack
Generate insights and tooling around 16+ products
Requirements
Experience and Skills
5+ years experience as a Software/Data engineer with solid computer science fundamentals
Hands on experience and strong proficiency in Go or Java. Experience in MySQL, Postgres and Redis
Experience in lean/XP development methods (TDD, Pair Programming, Scrum, Kanban, Continuous Integration/Delivery)
Deep expertise with data streaming and computation frameworks, including, but not limited to: Spark, Kafka, Flink, Beam
Experience in production environments with large data sets. Experience in DevOps tools including but not limited to Docker, Kubernetes
A passion for quality and best practices but with a pragmatism that understands the balance between perfection and delivering value in a timely manner. Eagerness to work openly and collaboratively with a diverse team. Thrive on solving complex problems and creating high quality, highly scalable software solutions
Excellent communication skills (English is required)
Full-stack engineering with additional hands on experience in ReactJS (Preferable)"
"Data Engineer","If you are an experienced and passionate Data Engineer who enjoys working in a highly entrepreneurial work environment, this is the opportunity for you. Excellent career opportunity to manage, design, develop and deliver the data warehousing environment for a fast-growing organisation in Malaysia!

Mandatory Skill(s)
Bachelors in IT, Computer Science or Engineering;
At least 3 – 5 years of experience in data warehouse, operational data store and large scale data architecture implementations in Unix/ Windows;
Experienced in atleast one of the platforms listed below:
1 – 3 years of big data technologies e.g. Hadoop, Hive, Spark, Sqoop, Kafka, Spark Streaming, cloud platform such as AWS technologies including S3, EMR, Redshift, Glue, Athena or Azure Data Lake, SQL Data Warehouse, Analysis Services and Power BI;
Strong hands-on development experience with Talend ETL/ELT (or similar tools such as SSIS, AWS Glue) to transform complex data structure in a multidata source environment;
Experienced in handling and processing different types of data (structured, semi-structured and unstructured);
Experience on Master Data Management (MDM), especially on Customer SCV MDM on products such as Experian, Informatica and etc.
Good understanding on Metadata Management in terms of process-wise and technical implementation. Preferable products having experience on are ASG, Collibra, Alation, Alex and etc;
Strong knowledge in handling different database technologies (RDBMS, NoSQL and Columnar);
Extensive experience working with data visualization (e.g. Tableau, PowerBI, Qlikview);
Proven track record of solving challenging problems by applying advanced analytics;
Good analytical ability, conceptual thinking, planning and organisational skills.
Desirable Skill(s)
Data certifications;
Experience in financial industry is beneficial.
Responsibilities
Design, develop, document and implement end-to-end data pipelines and data integration processes, both batch and real time;
Perform data analysis, data profiling, data cleansing, data lineage, data mapping and data transformation;
Develop ETL / ELT jobs and workflows, and deployment of data solutions;
Monitor, recommend, develop and implement ways to improve data quality including reliability, efficiency and cleanliness to optimize and fine tune processes;
Recommend, execute and deliver best practices in data management and data lifecycle processes, including modular development of data processes, coding and configuration standards, error handling and notification standards, auditing standards, and data archival standards;
Prepare test data, create and execute test plans, test cases and test scripts;
Collaborate with different stakeholders to understand data needs, gather requirements and implement data solutions to deliver business goals;
Provide technical support for any data issues and change requests, document all investigations, findings, recommendations and resolutions."
"Data Network Engineer","Job Responsibilities
Part of a team responsible for the development of network strategy, architecture, and design around Data technologies not limited to WAN, LAN, Unicast/Multicast, MPLS/VPLS, Switches, Routers, Wireless Access.
Accountable for gathering enterprise-wide system requirements and mapping requirements to enterprise Data network strategies
Responsible for the design, planning and implementation of these strategies
Support development and maintenance of the future architecture roadmap for the Data network based on service development and demand to support existing and evolving network service requirements
Support strategic analysis and forward view of technology evolution and its impact on legacy network. Ensure the network capability meets engineering, product and operational requirements and the design’s adherence to standardization of bank’s network infrastructure
Support the enhancement, consolidation and continuous technology refresh of network infrastructure driving improvement in performance, scalability, reliability, cost reduction while supporting present and future services
Responsible for lab and field testing as well as supporting the evaluation of new technologies and vendor offerings
Provide operational support to Network operations as needed on design aspects and support escalations
Work closely with global teams and introduce best practice requirements on the process and network infrastructure to the region
Collaborate with external vendors such as carriers and cabling contractors for project requirementsJob Requirements
At least 6 years work experience in either the financial or telecommunications industry with an excellent understanding of Data Network technologies and Network Design and implementation
In-depth knowledge on common routing protocols and WAN technologies including but not limited to BGP, EIGRP, OSPF, Mulitcast, MPLS/VPLS.
Hands on working experience in the design of complex networks supporting data, voice and video, WLAN in a converge environment.
Broad IT and network related knowledge on DHCP/DNS, TACACS/RADIUS, VPN would be an advantage
Great leadership and interpersonal skills
Ability to work in a high pressure environment
Cisco Certification of CCIE or equivalent
Ability to translate business requirements into comprehensive systems architecture definition
Experience in Change, Incident, Problem, and Capacity Management in banking industry (preferably with ITIL Foundation certification)
Understand risk management and work closely with the Bank information security and risk teams
Knowledge in regulatory requirements on IT infrastructure, security and local regulatory requirements in Asia is a plus.
Interested applicants please email your resume, stating your current and expected salaries to Xander Chen(Registration No.: R1769428 / EA License No. 13C6507) at xander.chen@itcs-group.com quoting the job number ITCS-6196.
Apply now! Share Forward"
