Industry,Department,Extraversion,Agreeableness,Conscientiousness,Openness,Neuroticism,
Accounting,Accounting,3.8,4.8,8.4,3.7,2,
Accounting,Accounting,4.6,4.9,8.6,4.1,2.7,
Accounting,Accounting,4.7,3.4,8.8,3.8,2.3,
Accounting,Accounting,3,5.6,7.5,5.3,3.5,
Accounting,Accounting,5.8,4.5,8.7,3,3.9,
Accounting,Accounting,6.9,5.6,8.6,3.3,3.1,
Accounting,Accounting,3.8,3.2,8.5,4.5,1.9,
Accounting,Accounting,6.9,3.2,7.3,5.9,1.8,
Accounting,Accounting,6.2,3.2,7.2,5.6,3.7,
Accounting,Accounting,3.9,5.3,7.6,5.8,3.3,
Accounting,Accounting,6,3.2,7,4.8,2.1,
Accounting,Accounting,4.4,4.8,8.6,3.9,3.7,
Accounting,Accounting,5.7,6.2,7.5,5,3.8,
Accounting,Accounting,3.1,6.4,8.4,6.5,3.5,
Accounting,Accounting,6.8,6,8.5,4.2,3.6,
Accounting,Accounting,4.7,6.6,7.1,4.3,2.3,
Accounting,Accounting,6,6.9,7.4,6.5,3.4,
Accounting,Accounting,5.9,3.5,8.9,3.6,2.7,
Accounting,Accounting,4.7,6.8,9,3.4,3.2,
Accounting,Accounting,6.8,5.7,9,5.7,3,
Accounting,Accounting,4.1,6.6,8.9,4.4,1.5,
Accounting,Accounting,3.3,4.2,7.4,4.7,3.8,
Accounting,Accounting,4.8,3.4,7,3,1.5,
Accounting,Accounting,4.6,4.7,7,6.9,1.9,
Accounting,Accounting,6.5,6,7.8,3.7,3.8,
Accounting,Accounting,3.8,4.5,8.1,6.9,2,
Accounting,Accounting,4.5,6.4,8.8,6.4,2.8,
Accounting,Accounting,4.4,6.8,7.8,4.5,1.9,
Accounting,Accounting,3.8,3.4,7.4,7,3.2,
Accounting,Accounting,3.5,4.4,7.1,6.2,3.4,
Accounting,Accounting,6.1,4.9,8,3.4,2.9,
Accounting,Accounting,5.2,7,8.2,6.8,3.5,
Accounting,Accounting,6.3,6.6,8.2,6.4,2.4,
Accounting,Accounting,4.1,4.9,7.7,5.9,3.1,
Accounting,Accounting,4.5,3.9,7,5.6,1.6,
Accounting,Accounting,4.2,3.9,7.2,6,2.2,
Accounting,Accounting,4.6,5.9,8.5,5,3.7,
Accounting,Accounting,5.7,5.6,8.9,5.2,1.5,
Accounting,Accounting,5.7,5.3,8.6,4.7,2.4,
Accounting,Accounting,3.8,6.2,8,4.9,2.4,
Accounting,Accounting,5.2,6.3,8.1,4.7,3.6,
Accounting,Accounting,6,3.5,7.7,5.3,2,
Accounting,Accounting,6.5,7,8.4,3.6,1.7,
Accounting,Accounting,3.1,3.6,7.5,4.3,3.7,
Accounting,Accounting,4,4.3,8.2,6.1,3.2,
Accounting,Accounting,4.5,4.4,8.4,5.2,3,
Accounting,Accounting,4.3,6.3,7.7,6.1,3.7,
Accounting,Accounting,3.2,3.5,8.8,5.3,3.6,
Accounting,Accounting,6.3,6.3,8.4,6.8,1.5,
Accounting,Accounting,6.9,4.2,8.7,6,3,
Accounting,Accounting,3.3,5.9,8.4,5.8,4,
Accounting,Accounting,6.8,4.2,7.9,5.2,2.6,
Accounting,Accounting,6.3,3.5,7.4,4.3,3,
Accounting,Accounting,5.9,4.3,8.7,6.2,2.2,
Accounting,Accounting,6.5,4.2,7.6,6.1,2.7,
Accounting,Accounting,3.8,5.1,7,6.5,1.6,
Accounting,Accounting,6.2,5.1,7.3,6.9,3.4,
Accounting,Accounting,3.3,4.2,8.7,3.3,1.8,
Accounting,Accounting,6.8,6.6,8.5,3.8,3.1,
Accounting,Accounting,6.4,3.2,7.4,3.6,3,
Accounting,Accounting,6,4.3,8.2,5.3,2.6,
Accounting,Accounting,5.5,3.4,9,6.3,3.6,
Accounting,Accounting,5.7,5.6,7.5,6.3,2.5,
Accounting,Accounting,4.9,6.5,8.7,4.9,2.3,
Accounting,Accounting,5.5,3.8,7.8,5.8,3.9,
Accounting,Accounting,3.3,6.4,8.7,4.2,3,
Accounting,Accounting,6.4,3,7.5,4.9,2.6,
Accounting,Accounting,3.4,3.1,8.6,3.4,3.7,
Accounting,Accounting,6.7,6.3,8.8,6.5,1.9,
Accounting,Accounting,5.8,3.3,8.3,6.3,3.2,
Accounting,Accounting,4.8,5,7.7,3.1,2,
Accounting,Accounting,3.1,6.2,7.6,3.1,2.1,
Accounting,Accounting,3.9,3.7,8.2,5.6,2.5,
Accounting,Accounting,5.3,4.8,7,6.7,2.8,
Accounting,Accounting,6.6,5.4,8.6,4.3,3.7,
